reserve_name,campus,latitude,longitude
Angelo Coast Range Reserve,Berkeley,39.74055556,-123.63194444
Año Nuevo Island Reserve,Santa Cruz,37.10833333,-122.33666667
Blue Oak Ranch Reserve,Berkeley,37.381617,-121.737281
Bodega Marine Reserve,Davis,38.317037,-123.071744
Box Springs Reserve,Riverside,33.97138889,-117.30027778
Boyd Deep Canyon Desert Research Center,Riverside,33.64805556,-116.37666667
Burns Piñon Ridge Reserve,Irvine,34.14916667,-116.45416667
Carpinteria Salt Marsh Reserve,Santa Barbara,34.40083333,-119.53472222
Coal Oil Point Natural Reserve,Santa Barbara,34.40805556,-119.87777778
Dawson Los Monos Canyon Reserve,San Diego,33.14861111,-117.24861111
Elliott Chaparral Reserve,San Diego,32.88555556,-117.08638889
Emerson Oaks Reserve,Riverside,33.46611111,-117.34722222
Fort Ord Natural Reserve,Santa Cruz,36.68194444,-121.78027778
Hastings Natural History Reservation,Berkeley,36.387305,-121.549903
James San Jacinto Mountains Reserve,Riverside,33.80916667,-116.77527778
Jepson Prairie Reserve,Davis,38.27527778,-121.82388889
Kendall-Frost Mission Bay Marsh Reserve,San Diego,32.79416667,-117.22888889
Kenneth S. Norris Rancho Marino Reserve,Santa Barbara,35.53722222,-121.08527778
Landels-Hill Big Creek Reserve,Santa Cruz,36.07142,-121.599155
Lassen Field Station,Davis,40.346656,-121.608041
McLaughlin Natural Reserve,Davis,38.87388889,-122.43166667
Merced Vernal Pools and Grassland Reserve,Merced,37.37527778,-120.41333333
Motte Rimrock Reserve,Riverside,33.80361111,-117.26
Point Reyes Field Station,Berkeley,37.99666667,-122.70333333
Quail Ridge Reserve,Davis,38.48277778,-122.14944444
Sagehen Creek Field Station,Berkeley,39.43166667,-120.24055556
San Joaquin Marsh Reserve,Irvine,33.66166667,-117.85361111
Santa Cruz Island Reserve,Santa Barbara,33.99694444,-119.72638889
Scripps Coastal Reserve,San Diego,32.86694444,-117.25416667
Sedgwick Reserve,Santa Barbara,34.69277778,-120.04111111
Sierra Nevada Aquatic Research Laboratory,Santa Barbara,37.61388889,-118.83222222
Cahill Riparian Reserve,Davis,38.5075,-122.09694444
Steele/Burnand Anza-Borrego Desert Research Center,Irvine,33.24027778,-116.38888889
Strathearn Ranch Reserve,Santa Cruz,36.83385,-121.1633
Stunt Ranch Santa Monica Mountains Reserve,Los Angeles,34.09388889,-118.65666667
Sweeney Granite Mountains Desert Research Center,Riverside,34.78138889,-115.65361111
Valentine Camp,Santa Barbara,37.62972222,-118.99555556
White Mountain Research Center,Los Angeles,37.36138889,-118.32666667
Yosemite Field Station,Merced,37.53972222,-119.65805556
Younger Lagoon Reserve,Santa Cruz,36.95083333,-122.06583333
